PDB code,Protein name
2gz2,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE
2hxm,URACIL-DNA GLYCOSYLASE
2wzm,ALDO-KETO REDUCTASE
2zxd,ALPHA-L-FUCOSIDASE
3dne,CAMP-DEPENDENT PROTEIN KINASE
3iof,BETA-LACTAMASE
3lq2,PYRUVATE DEHYDROGENASE E1 COMPONENT
3ms9,TYROSINE-PROTEIN KINASE ABL1
3n1c,6-PHOSPHOFRUCTOKINASE ISOZYME 2
3ppp,GLYCINE BETAINE/CARNITINE/CHOLINE-BINDING PROTEIN
3q71,POLY [ADP-RIBOSE] POLYMERASE 14
3qxt,ANTI-METHOTREXATE CDR1-3 GRAFT VHH
4lrr,THYMIDYLATE SYNTHASE
4u71,METHIONINE AMINOPEPTIDASE 1
5ev8,BETA-LACTAMASE IMP-1
5ja0,FARNESYL PYROPHOSPHATE SYNTHASE
1b4z,OLIGO-PEPTIDE BINDING PROTEIN
1ndw,ADENOSINE DEAMINASE
2q38,CARBONIC ANHYDRASE 2
6bhv,POLY [ADP-RIBOSE] POLYMERASE 1
6jam,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
6pu3,HEME-BINDING PROTEIN A
1fh7,"BETA-1,4-XYLANASE"
1q8w,CAMP-DEPENDENT PROTEIN KINASE
1s89,METHYLGLYOXAL SYNTHASE
2jfz,GLUTAMATE RACEMASE
3pb8,GLUTAMINYL-PEPTIDE CYCLOTRANSFERASE-LIKE PROTEIN
3ueu,BETA-LACTOGLOBULIN
4gue,RIBOSOMAL PROTEIN S6 KINASE ALPHA-3
4idn,ATLASTIN-1
4ih7,RNA-DIRECTED RNA POLYMERASE
4non,FERROUS IRON UPTAKE TRANSPORTER PROTEIN B
4y59,STREPTAVIDIN
4zv1,ANCQR
5d24,BROMODOMAIN-CONTAINING PROTEIN 4
5d3j,BROMODOMAIN-CONTAINING PROTEIN 4
5edd,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE
5w1e,PUTATIVE TRANSCRIPTIONAL REGULATOR
6gxg,TRYPAREDOXIN
2bfr,HYPOTHETICAL PROTEIN AF1521
3r24,2'-O-METHYL TRANSFERASE
5b5f,STREPTAVIDIN
5b5g,STREPTAVIDIN
5twj,RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE H
1w4q,RIBONUCLEASE A
3n9s,FRUCTOSE-BISPHOSPHATE ALDOLASE
4omj,SEC14-LIKE PROTEIN 2
5gs9,GATS-LIKE PROTEIN 3
6t1i,PROTEIN ENL
2x7u,CARBONIC ANHYDRASE 2
3tkw,HIV-1 PROTEASE
4jfs,ALPHA-L-FUCOSIDASE
5hwu,UNCHARACTERIZED PROTEIN
5irr,SEPTIN-LIKE PROTEIN
5ltn,RNA-DIRECTED RNA POLYMERASE L
1b46,OLIGO-PEPTIDE BINDING PROTEIN
1f5l,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
3bbf,NUCLEOSIDE DIPHOSPHATE KINASE B
3o5x,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11"
4e70,CONIFERYL ALCOHOL 9-O-METHYLTRANSFERASE
4j46,E3 UBIQUITIN-PROTEIN LIGASE XIAP
5ect,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE
5g5f,TAU CLASS GLUTATHIONE S-TRANSFERASE
5xpi,E3 UBIQUITIN-PROTEIN LIGASE UHRF1
6ajy,BROMODOMAIN-CONTAINING PROTEIN 4
6qlp,GALECTIN-3
1c88,PROTEIN-TYROSINE PHOSPHATASE 1B
2wc4,BETA-GLUCOSIDASE A
5hrv,PROTEIN POLYBROMO-1
5hrx,PROTEIN POLYBROMO-1
1a69,PURINE NUCLEOSIDE PHOSPHORYLASE
1h6h,NEUTROPHIL CYTOSOL FACTOR 4
1o0f,RIBONUCLEASE
1srg,STREPTAVIDIN
2q7q,ARALKYLAMINE DEHYDROGENASE LIGHT CHAIN
2vk6,EXO-ALPHA-SIALIDASE
3p9l,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B"
3pgl,CARBOXY-TERMINAL DOMAIN RNA POLYMERASE II POLYPEPTI
3upv,HEAT SHOCK PROTEIN STI1
5eyr,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR
6d2o,CARBONIC ANHYDRASE
6eeb,CALMODULIN-1
6ml9,LYSINE/ARGININE/ORNITHINE-BINDING PERIPLASMIC PROTEIN
6qqu,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
6r1w,CEREBLON ISOFORM 4
1hk4,SERUM ALBUMIN
1mfd,ANTIBODY FAB FRAGMENT
4or6,POLYMERASE BASIC PROTEIN 2
4u1b,METHIONINE AMINOPEPTIDASE 1
5eij,CARBONIC ANHYDRASE 2
5n2z,THERMOLYSIN
1lvu,PURINE NUCLEOSIDE PHOSPHORYLASE
1y20,N-METHYL-D-ASPARTATE RECEPTOR SUBUNIT 1
4ipi,POLYSIALIC ACID CAPSULE BIOSYNTHESIS PROTEIN SIAC
4us3,TRANSPORTER
5g1z,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE
5n17,BROMODOMAIN-CONTAINING FACTOR 1
6g0z,RIBOSOME BIOGENESIS GTPASE A
6h1u,PROBABLE GLUTAMINE-BINDING LIPOPROTEIN GLNH (GLNBP)
2c80,GLUTATHIONE S-TRANSFERASE
3arx,CHITINASE A
3ozs,CATECHOL O-METHYLTRANSFERASE
3q1x,SERINE ACETYLTRANSFERASE
6u6w,WD REPEAT-CONTAINING PROTEIN 5
1hee,CARBOXYPEPTIDASE A
1zgi,THROMBIN
3hkq,CARBONIC ANHYDRASE 2
3k4q,3-PHYTASE A
3nee,TRANSTHYRETIN
5l4m,TRANSTHYRETIN
5o9y,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
5u14,DIHYDROPTEROATE SYNTHASE
5wp5,PHOSPHOMETHYLETHANOLAMINE N-METHYLTRANSFERASE 2
1ql9,TRYPSIN BETA
2fxv,XANTHINE PHOSPHORIBOSYLTRANSFERASE
2gkl,BETA-LACTAMASE
3hkn,CARBONIC ANHYDRASE 2
5u11,DIHYDROPTEROATE SYNTHASE
6ep4,CHOLINESTERASE
6of5,FE(3+)-ZN(2+) PURPLE ACID PHOSPHATASE
6pgc,WD REPEAT-CONTAINING PROTEIN 5
6qls,GALECTIN-3
1adl,ADIPOCYTE LIPID-BINDING PROTEIN
3bv9,THROMBIN
3ldq,HEAT SHOCK COGNATE 71 KDA PROTEIN
3mf5,RNA-DIRECTED RNA POLYMERASE
1gpk,ACETYLCHOLINESTERASE
1sgu,HIV-1 PROTEASE
3qt6,MEVALONATE DIPHOSPHATE DECARBOXYLASE
6eyb,HEAT SHOCK PROTEIN HSP90-ALPHA
6n0j,PIRIN
1g3e,TRYPSIN BETA
3tif,UNCHARACTERIZED ABC TRANSPORTER ATP-BINDING PROTEIN
4f7v,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE
5mek,CYTOSOLIC SULFOTRANSFERASE 18
6olx,HEAT SHOCK PROTEIN HSP90-ALPHA
1qbv,THROMBIN
2h6b,CHLOROPHENOL REDUCTION GENE K
3hkt,CARBONIC ANHYDRASE 2
3m1k,CARBONIC ANHYDRASE 2
4cl6,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE
4ej8,HIV-1 PROTEASE
5chk,AVIDIN
5o9r,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
6ggb,CELLULAR TUMOR ANTIGEN P53
6ggf,CELLULAR TUMOR ANTIGEN P53
6ma2,UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N
1bp0,THYMIDYLATE SYNTHASE
1f8b,NEURAMINIDASE
1m7i,ANTIBODY FAB FRAGMENT
1mmr,MATRILYSIN
1pz5,ANTIBODY FAB FRAGMENT
1r9l,GLYCINE BETAINE-BINDING PERIPLASMIC PROTEIN
1trd,TRIOSEPHOSPHATE ISOMERASE
2c1p,IGK-C PROTEIN
2f35,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1"
2i80,D-ALANINE-D-ALANINE LIGASE
2jdm,FUCOSE-BINDING LECTIN PA-IIL
2qg2,HEAT SHOCK PROTEIN HSP90-ALPHA
3b4p,PHENAZINE BIOSYNTHESIS PROTEIN A/B
4c5d,BCL-2-LIKE PROTEIN 1
4ij1,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
4m3p,BETAINE--HOMOCYSTEINE S-METHYLTRANSFERASE 1
4ozj,NITROGEN REGULATORY PROTEIN P-II
4pin,HISTIDINE-SPECIFIC METHYLTRANSFERASE EGTD
5ep7,CREB-BINDING PROTEIN
5eqp,CHOLINE KINASE ALPHA
5fns,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1
5jsj,SPINDLIN-1
5l9o,DEOXYFRUCTOSYL-AMINO ACID TRANSPORTER PERIPLASMIC BINDING
5lsg,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
5mqe,CREB-BINDING PROTEIN
5tef,GEM-ASSOCIATED PROTEIN 5
6ny0,DIHYDROFOLATE REDUCTASE TYPE 2
6r1d,CEREBLON ISOFORM 4
2j47,O-GLCNACASE BT_4395
4tun,LYSOZYME C
4u6z,METHIONINE AMINOPEPTIDASE 1
4uma,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE
5cbs,GLUTAMATE RECEPTOR 2
5u13,DIHYDROPTEROATE SYNTHASE
6mm2,CARBON REGULATORY PII-LIKE PROTEIN SBTB
2vpo,PERIPLASMIC SUBSTRATE BINDING PROTEIN
4fev,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB
4nxv,MITOCHONDRIAL DYNAMIC PROTEIN MID51
6hgg,ALPHA-1-ANTICHYMOTRYPSIN
3ng4,PEPTIDOGLYCAN RECOGNITION PROTEIN 1
4f5y,TRANSMEMBRANE PROTEIN 173
4pox,NOPALINE-BINDING PERIPLASMIC PROTEIN
1h0a,EPSIN
1syi,GLUTAMATE RECEPTOR 2
2q6f,INFECTIOUS BRONCHITIS VIRUS (IBV) MAIN PROTEASE
2wr8,PUTATIVE UNCHARACTERIZED PROTEIN PH0463
3lp7,ARGINASE-1
3u10,POTASSIUM/SODIUM HYPERPOLARIZATION-ACTIVATED CYCLIC
4dju,BETA-SECRETASE 1
5ave,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN
5e3a,DIPEPTIDYL PEPTIDASE 3
5tp0,TRYPSIN-3
6gnr,TRANSTHYRETIN
6n3y,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
6r1b,PUTATIVE SN-GLYCEROL-3-PHOSPHATE-BINDING LIPOPROTEIN UGPB
2iko,RENIN
3mi3,"HOMOCITRATE SYNTHASE, MITOCHONDRIAL"
1b4h,OLIGO-PEPTIDE BINDING PROTEIN
1q65,QUEUINE TRNA-RIBOSYLTRANSFERASE
5mnr,THERMOLYSIN
5nka,EPHRIN TYPE-A RECEPTOR 2
5txy,CARBONIC ANHYDRASE 2
6dzx,LIPOPROTEIN
6ekq,PEREGRIN
6gdy,BIFUNCTIONAL ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE
6nxz,DIHYDROFOLATE REDUCTASE TYPE 2
6t1n,PROTEIN ENL
1g7f,PROTEIN-TYROSINE PHOSPHATASE 1B
1gi1,TRYPSIN BETA
1xh5,CAMP-DEPENDENT PROTEIN KINASE
2r0z,"ANTIBODY FAB IGG2A, LIGHT CHAIN"
2xde,GAG POLYPROTEIN
4n6g,CASPASE-6
4n7m,CASPASE-6
4qb3,BROMODOMAIN-CONTAINING PROTEIN 4
5nn5,LYSOSOMAL ALPHA-GLUCOSIDASE
5u0f,CARBONIC ANHYDRASE 2
6c7w,CARBONIC ANHYDRASE 2
1g85,ODORANT-BINDING PROTEIN
2cbv,BETA-GLUCOSIDASE A
2zkj,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE
3bxe,CENTRAL GLYCOLYTIC GENE REGULATOR
3iw6,MITOGEN-ACTIVATED PROTEIN KINASE 14
3zdv,FUCOSE-BINDING LECTIN PA-IIL
4jfm,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP5
4kp8,CARBONIC ANHYDRASE 12
4pf5,CONCANAVALIN-A
4uc5,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE
5aqz,HEAT SHOCK 70 KDA PROTEIN 1A
5hrw,PROTEIN POLYBROMO-1
6dd0,BETA-LACTAMASE CLASS B VIM-2
1pot,SPERMIDINE/PUTRESCINE-BINDING PROTEIN
1pyn,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
2h4k,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
2o0u,MITOGEN-ACTIVATED PROTEIN KINASE 10
2uy5,ENDOCHITINASE
3bvb,HIV-1 PROTEASE
3ga5,D-GALACTOSE-BINDING PERIPLASMIC PROTEIN
3hmp,DUAL SPECIFICITY PROTEIN KINASE TTK
3i73,A-TYPE ATP SYNTHASE CATALYTIC SUBUNIT A
4w9f,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
5avf,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN
6g14,RIBOSOME BIOGENESIS GTPASE A
6qr2,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
3tza,GLUTAMATE RECEPTOR 2
3da9,THROMBIN
3kgt,TRANSTHYRETIN
4k55,BUTYROPHILIN SUBFAMILY 3 MEMBER A1
4qxo,STIMULATOR OF INTERFERON GENES PROTEIN
4zba,PCURE2P8
4zgk,E3 UBIQUITIN-PROTEIN LIGASE MDM2
5cks,"PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE, PHE-SENSITIVE"
5oa6,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
6dgq,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
6gfz,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
1kc7,PYRUVATE PHOSPHATE DIKINASE
1oe8,GLUTATHIONE S-TRANSFERASE
1ydr,CAMP-DEPENDENT PROTEIN KINASE
2cht,CHORISMATE MUTASE
2ydt,"EXO-1,5-ALPHA-L-ARABINOFURANOBIOSIDASE"
3hzm,ANTIBODY FAB FARGMENT S73-2
3iog,BETA-LACTAMASE
4en4,PYRIDOXAL KINASE
5f08,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR
5j1x,NEUROPILIN-1
5mrp,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE
5nn6,LYSOSOMAL ALPHA-GLUCOSIDASE
6dgl,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
5dus,ORF1A
1bjv,TRYPSIN BETA
2olb,OLIGO-PEPTIDE BINDING PROTEIN
2y7i,STM4351
3bxf,CENTRAL GLYCOLYTIC GENE REGULATOR
3jyr,MALTOSE BINDING PERIPLASMIC PROTEIN
3ubd,RIBOSOMAL PROTEIN S6 KINASE ALPHA-3
3v78,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
4nxu,MITOCHONDRIAL DYNAMIC PROTEIN MID51
4qij,"1,4-DIHYDROXY-2-NAPHTHOYL-COA SYNTHASE"
4r4c,REPLICATION PROTEIN A 70 KDA DNA-BINDING SUBUNIT
5a81,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
1g3d,TRYPSIN BETA
1njc,THYMIDYLATE SYNTHASE
1y3n,"ALGINATE-BINDING PROTEIN, ALGQ1"
2iuz,CHITINASE
3uzj,KEMP ELIMINASE KE59 R13 3/11H
4pqa,SUCCINYL-DIAMINOPIMELATE DESUCCINYLASE
5gja,1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE 2
5vd3,MEMBRANE-ASSOCIATED TYROSINE- AND THREONINE-SPECIFIC CDC2
6bs4,PUTATIVE ATPASE RV3679
6ouv,1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE
4o3f,PHOSPHOGLYCERATE KINASE 1
6mxc,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
1jak,BETA-N-ACETYLHEXOSAMINIDASE
1njd,THYMIDYLATE SYNTHASE
2nmx,CARBONIC ANHYDRASE 1
3bex,TYPE III PANTOTHENATE KINASE
3coz,PANTOTHENATE SYNTHETASE
3uxl,MANDELATE RACEMASE
3vtr,N-ACETYLGLUCOSAMINIDASE
6i12,FASCIN
3jup,PHENAZINE BIOSYNTHESIS PROTEIN A/B
3su5,NS3/4A PROTEASE
1f4x,"ANTIBODY FAB FRAGMENT, LIGHT CHAIN"
1fo0,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B"
1mfi,MACROPHAGE MIGRATION INHIBITORY FACTOR
3sha,THROMBIN
4bqh,UDP-N-ACETYLGLUCOSAMINE PYROPHOSPHORYLASE
4cwn,HEAT SHOCK PROTEIN HSP90-ALPHA
4tkb,FATTY ACID-BINDING PROTEIN
5afv,CHOLINE KINASE ALPHA
5n9r,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 7
5t9w,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
6fnr,HISTIDINE N-ALPHA-METHYLTRANSFERASE
6t1o,PROTEIN ENL
1vfn,PURINE NUCLEOSIDE PHOSPHORYLASE
2wca,O-GLCNACASE BT_4395
2yhw,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE
3bl1,CARBONIC ANHYDRASE 2
3e6y,14-3-3-LIKE PROTEIN C
3qps,CMER
4zzy,POLY [ADP-RIBOSE] POLYMERASE 2
6h1d,HEMK METHYLTRANSFERASE FAMILY MEMBER 2
3u5j,BROMODOMAIN-CONTAINING PROTEIN 4
6n3v,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
1ejn,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2bmk,ANTIBODY FAB FRAGMENT
3e3c,L0044
3ip9,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN"
3ldp,78 KDA GLUCOSE-REGULATED PROTEIN
3lpl,PYRUVATE DEHYDROGENASE E1 COMPONENT
3nes,TRANSTHYRETIN
4dzy,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE
4iid,BETA-GLUCOSIDASE 1
4j48,E3 UBIQUITIN-PROTEIN LIGASE XIAP
5wgp,CARBONIC ANHYDRASE 2
6h29,CARBONIC ANHYDRASE 2
6j3o,HISTONE ACETYLTRANSFERASE KAT2B
3gy3,TRYPSIN
3rf5,MACROPHAGE MIGRATION INHIBITORY FACTOR
5d0c,BROMODOMAIN-CONTAINING PROTEIN 4
5jq5,CELL DIVISION PROTEIN KINASE 2
1f57,CARBOXYPEPTIDASE A
1y3v,TRYPSIN
1z9g,THERMOLYSIN
2ojg,MITOGEN-ACTIVATED PROTEIN KINASE 1
2reg,PUTATIVE GLYCINE BETAINE-BINDING ABC TRANSPORTER
3fwv,HSC70/HSP90-ORGANIZING PROTEIN
3n86,3-DEHYDROQUINATE DEHYDRATASE
3s8l,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2
4deu,TRANSTHYRETIN
6ets,LYSINE-SPECIFIC DEMETHYLASE 4D
6j0g,BUTYROPHILIN SUBFAMILY 3 MEMBER A3
3q7q,GTP-BINDING PROTEIN RAD
1n5r,ACETYLCHOLINESTERASE
1nhu,RNA-DIRECTED RNA POLYMERASE
2aod,HIV-1 PROTEASE
2erz,CAMP-DEPENDENT PROTEIN KINASE
2x97,ANGIOTENSIN-CONVERTING ENZYME
3ery,H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN
3td4,OUTER MEMBRANE PROTEIN OMP38
3zi8,PUTATIVE FUCOSE-BINDING LECTIN PROTEIN
4zek,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN"
5c28,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5g5z,"ABC TRANSPORTER, SUBSTRATE-BINDING PROTEIN"
6cjv,CARBONIC ANHYDRASE 2
6jaw,GROUP II CHITINASE
6pi6,ATRAZINE PERIPLASMIC BINDING PROTEIN
2h15,CARBONIC ANHYDRASE 2
2pqz,HIV-1 PROTEASE
2qwf,NEURAMINIDASE
4ncn,EUKARYOTIC TRANSLATION INITIATION FACTOR 5B-LIKE PR
5ouh,ACETYLCHOLINE BINDING PROTEIN
6f28,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3"
6gon,TRANSTHYRETIN
1gnn,HIV-1 PROTEASE
2c92,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE"
2cbu,BETA-GLUCOSIDASE A
2q8z,OROTIDINE 5'-PHOSPHATE DECARBOXYLASE
2uyq,HYPOTHETICAL PROTEIN ML2640
3oil,CARBONIC ANHYDRASE 2
4c52,BCL-2-LIKE PROTEIN 1
4det,TRANSTHYRETIN
4l4z,TRANSCRIPTIONAL REGULATOR LSRR
4q9y,CARBONIC ANHYDRASE 2
5n18,BROMODOMAIN-CONTAINING FACTOR 1
5o2d,POLY [ADP-RIBOSE] POLYMERASE 14
6qge,GALECTIN-3
6bdy,METHIONINE SYNTHASE
1a99,PUTRESCINE-BINDING PROTEIN
1egh,METHYLGLYOXAL SYNTHASE
1g98,GLUCOSE-6-PHOSPHATE ISOMERASE
1jsv,CELL DIVISION PROTEIN KINASE 2
1n1m,DIPEPTIDYL PEPTIDASE 4
1pgp,6-PHOSPHOGLUCONATE DEHYDROGENASE (6-PGDH)
2a14,INDOLETHYLAMINE N-METHYLTRANSFERASE
2avm,HIV-1 PROTEASE
2f2h,PUTATIVE FAMILY 31 GLUCOSIDASE YICI
2h3e,ASPARTATE CARBAMOYLTRANSFERASE
2i4z,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
2ya6,NEURAMINIDASE A
3acx,DEHYDROSQUALENE SYNTHASE
3c4h,POLY [ADP-RIBOSE] POLYMERASE 3
3d4y,ALPHA-MANNOSIDASE II
3fhb,POLY [ADP-RIBOSE] POLYMERASE 3
3kku,CRUZIPAIN
4bs0,KEMP ELIMINASE HG3.17
4f39,GLUTAMATE RECEPTOR 3
4j28,ALPHA-L-FUCOSIDASE
4l2l,LEUKOTRIENE A-4 HYDROLASE
4pzv,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE
5dlx,BROMODOMAIN-CONTAINING PROTEIN 4
5lz4,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE
5mro,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE
6f9g,METHYL-ACCEPTING CHEMOTAXIS PROTEIN MCPU
6hd6,TYROSINE-PROTEIN KINASE ABL1
6jay,GROUP II CHITINASE
6n8x,HEAT SHOCK PROTEIN HSP90-ALPHA
6o5g,CALMODULIN-1
2uz9,GUANINE DEAMINASE
3wvm,FATTY ACID-BINDING PROTEIN
6q60,GLUTAMATE RECEPTOR 2
2qg0,HEAT SHOCK PROTEIN HSP90-ALPHA
2v25,MAJOR CELL-BINDING FACTOR
3jvr,SERINE/THREONINE-PROTEIN KINASE CHK1
3shc,THROMBIN
4br3,CHOLINE KINASE ALPHA
4dkp,HIV-1 GP120 CORE
4zw6,M1 FAMILY AMINOPEPTIDASE
6eyt,TYPE III SECRETION SYSTEM EFFECTOR PROTEIN
3bqc,"CASEIN KINASE II, ALPHA SUBUNIT"
3m3z,HEAT SHOCK COGNATE 71 KDA PROTEIN
4j44,E3 UBIQUITIN-PROTEIN LIGASE XIAP
1o33,TRYPSIN BETA
1o5e,SERINE PROTEASE HEPSIN
1qy2,MAJOR URINARY PROTEIN
1zdp,THERMOLYSIN
2pgz,ACETYLCHOLINE RECEPTOR
2pqc,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE
3gy2,TRYPSIN
3ivx,PANTOTHENATE SYNTHETASE
3pb7,GLUTAMINYL-PEPTIDE CYCLOTRANSFERASE-LIKE PROTEIN
3wz7,ENDOTHIAPEPSIN
4lps,HYDROGENASE/UREASE NICKEL INCORPORATION PROTEIN HYP
4o2b,TUBULIN ALPHA-1B CHAIN
4tkh,FATTY ACID-BINDING PROTEIN
5cbr,GLUTAMATE RECEPTOR 2
5eis,BROMODOMAIN-CONTAINING PROTEIN 4
5mwh,PEREGRIN
5om7,ALPHA-1-ANTICHYMOTRYPSIN
5ota,NOPALINE-BINDING PERIPLASMIC PROTEIN
5u4b,TRANSTHYRETIN
6mh7,BROMODOMAIN-CONTAINING PROTEIN 4
2ya8,NEURAMINIDASE A
4mn3,CHROMOBOX PROTEIN HOMOLOG 7
5zdb,POLY ADP-RIBOSE GLYCOHYDROLASE
6e6m,RETINOL-BINDING PROTEIN 1
6i8t,POLY [ADP-RIBOSE] POLYMERASE 1
1p1o,GLUTAMATE RECEPTOR 2
2qta,PYRUVATE DEHYDROGENASE E1 COMPONENT
4a95,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE
4muv,CYCLIC NUCLEOTIDE-GATED POTASSIUM CHANNEL MLL3241
4nwc,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3"
6jav,GROUP II CHITINASE
1jmf,THYMIDYLATE SYNTHASE
1ur9,CHITINASE B
2boj,FUCOSE-BINDING LECTIN PA-IIL
2xp7,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA-INTERACTIN
3k00,ACARBOSE/MALTOSE BINDING PROTEIN GACH
3rm4,ACIDIC MAMMALIAN CHITINASE
4fxq,PUTATIVE ADP-RIBOSYLTRANSFERASE CERTHRAX
4j45,E3 UBIQUITIN-PROTEIN LIGASE XIAP
4q9o,ISOPRENYL TRANSFERASE
5fsn,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE"
5nw7,MANNOSE-6-PHOSPHATE ISOMERASE
5zym,LIPID-TRANSFER PROTEIN CERT
6eij,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE
4l4v,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN
1hmt,FATTY ACID-BINDING PROTEIN
2y5h,COAGULATION FACTOR XA
4q4q,QUEUINE TRNA-RIBOSYLTRANSFERASE
5mo8,"CASEIN KINASE II, ALPHA SUBUNIT"
5n31,THERMOLYSIN
6jan,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
1kpm,PHOSPHOLIPASE A2
1ppm,PENICILLOPEPSIN
2q88,PUTATIVE ABC TRANSPORTER AMINO ACID-BINDING
4ezx,CHAPERONE PROTEIN DNAK
4g8v,RIBONUCLEASE
4rhx,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
4ymq,NUCLEAR RECEPTOR ROR-GAMMA
4ysl,BETA-LACTAMASE DOMAIN PROTEIN
5oei,UNCHARACTERIZED PROTEIN FAMILY UPF0065:TAT PATHWAY SIGNAL
6czf,AMIDOPHOSPHORIBOSYLTRANSFERASE
6eog,GALECTIN-3
6mnc,ESTRADIOL 17-BETA-DEHYDROGENASE 1
1lkl,P56 TYROSINE KINASE
6ey8,HEAT SHOCK PROTEIN HSP90-ALPHA
6n3w,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
1hdq,CARBOXYPEPTIDASE A
1kav,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
1ols,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
2nn1,CARBONIC ANHYDRASE 1
3b7i,LEUCYL AMINOPEPTIDASE
